State (India Ev Ice Adoption Large.Csv),Charging Stations (India Ev Ice Adoption Large.Csv),Ev Vehicle Registrations (India Ev Ice Adoption Large.Csv)
Assam,398,529
Assam,895,27477
Assam,913,1982
Assam,266,2518
Assam,315,3186
Assam,664,27706
Assam,917,12097
Assam,1026,4556
Assam,602,10448
Assam,826,789
Assam,262,15847
Assam,853,3471
Assam,243,4449
Assam,522,1839
Assam,675,37217
Assam,294,2167
Assam,1229,33501
Assam,809,27204
Assam,596,11095
Assam,689,4615
Assam,880,4678
Assam,650,21448
Assam,841,29224
Bihar,659,0
Bihar,797,16471
Bihar,620,1836
Bihar,649,13880
Bihar,529,15270
Bihar,80,4497
Bihar,254,12912
Bihar,399,16505
Bihar,837,1915
Bihar,454,20442
Bihar,576,25942
Bihar,753,21602
Bihar,385,0
Bihar,269,22274
Bihar,339,1855
Bihar,37,14868
Bihar,679,13589
Bihar,297,3812
Bihar,653,11077
Bihar,728,19483
Bihar,419,32244
Bihar,1169,10811
Bihar,404,866
Bihar,124,25299
Bihar,1111,8630
Bihar,551,7621
Bihar,685,4094
Bihar,729,4267
Bihar,358,14415
Bihar,500,22912
Bihar,564,22000
Bihar,401,11928
Bihar,957,10294
Bihar,1250,33737
Bihar,658,11717
Bihar,774,18930
Chhattisgarh,131,9360
Chhattisgarh,773,15616
Chhattisgarh,653,17335
Chhattisgarh,377,16391
Chhattisgarh,238,4425
Chhattisgarh,288,0
Chhattisgarh,713,15578
Chhattisgarh,251,19904
Chhattisgarh,502,29328
Chhattisgarh,240,20719
Chhattisgarh,853,3729
Chhattisgarh,493,9904
Chhattisgarh,841,1102
Chhattisgarh,985,10696
Chhattisgarh,689,863
Chhattisgarh,750,8674
Chhattisgarh,73,4492
Chhattisgarh,614,3827
Chhattisgarh,162,11507
Chhattisgarh,329,32802
Chhattisgarh,130,10265
Chhattisgarh,439,3520
Chhattisgarh,285,24562
Chhattisgarh,505,12975
Chhattisgarh,237,62
Chhattisgarh,751,10984
Chhattisgarh,1076,0
Chhattisgarh,1067,5887
Chhattisgarh,309,8174
Chhattisgarh,189,10971
Chhattisgarh,449,27330
Chhattisgarh,284,19755
Chhattisgarh,184,17959
Chhattisgarh,871,16796
Chhattisgarh,486,24493
Chhattisgarh,762,14576
Chhattisgarh,418,11803
Chhattisgarh,717,1974
Chhattisgarh,143,20926
Chhattisgarh,297,8745
Chhattisgarh,507,25073
Chhattisgarh,727,17817
Chhattisgarh,636,3336
Chhattisgarh,712,0
Chhattisgarh,292,11755
Chhattisgarh,302,5833
Delhi,561,11513
Delhi,1034,24487
Delhi,506,7663
Delhi,650,22922
Delhi,230,12996
Delhi,412,10379
Delhi,411,17316
Delhi,279,16726
Delhi,370,31036
Delhi,512,28736
Delhi,903,9080
Delhi,923,10857
Delhi,274,7749
Delhi,935,3014
Delhi,388,15008
Delhi,619,17645
Delhi,451,17216
Delhi,302,895
Delhi,140,22683
Delhi,308,15356
Delhi,519,3350
Delhi,669,13399
Delhi,383,12677
Delhi,708,6971
Delhi,514,7469
Delhi,459,17590
Delhi,456,25908
Delhi,552,17005
Delhi,727,6630
Delhi,342,3163
Delhi,197,1946
Delhi,263,9567
Delhi,62,26970
Delhi,483,0
Delhi,486,52712
Delhi,679,8553
Delhi,343,0
Delhi,520,8743
Delhi,702,12101
Delhi,543,3791
Delhi,550,3428
Delhi,596,27297
Delhi,446,6874
Delhi,649,10122
Delhi,11,10257
Delhi,627,1023
Delhi,292,3728
Delhi,592,8973
Delhi,704,11657
Delhi,282,3406
Delhi,60,27251
Delhi,772,5843
Delhi,1102,3172
Delhi,1268,9877
Delhi,27,17397
Delhi,701,17990
Delhi,165,13278
Gujarat,58,9522
Gujarat,109,3934
Gujarat,829,13538
Gujarat,112,27031
Gujarat,668,6233
Gujarat,314,11909
Gujarat,81,0
Gujarat,957,23788
Gujarat,361,12068
Gujarat,544,6782
Gujarat,696,0
Gujarat,805,26174
Gujarat,632,11733
Gujarat,435,6439
Gujarat,346,0
Gujarat,514,9041
Gujarat,528,4292
Gujarat,393,11844
Gujarat,528,14695
Gujarat,640,5320
Gujarat,115,15036
Gujarat,552,12877
Gujarat,555,20575
Gujarat,602,19431
Gujarat,378,3241
Gujarat,614,30516
Gujarat,441,23931
Gujarat,627,32502
Gujarat,285,27881
Gujarat,685,21718
Gujarat,476,30464
Gujarat,477,7611
Gujarat,210,19019
Gujarat,425,12582
Gujarat,66,0
Gujarat,887,5729
Gujarat,726,10017
Gujarat,405,12610
Gujarat,456,13946
Gujarat,659,5910
Gujarat,692,3347
Gujarat,1174,7489
Gujarat,136,0
Gujarat,147,9570
Gujarat,373,2049
Gujarat,446,18146
Gujarat,579,29445
Gujarat,92,740
Gujarat,476,24428
Gujarat,597,0
Gujarat,728,8814
Gujarat,654,5244
Gujarat,799,33173
Gujarat,436,2348
Gujarat,847,7760
Gujarat,231,11867
Gujarat,646,15081
Gujarat,542,21134
Gujarat,160,22276
Gujarat,590,5121
Gujarat,655,1906
Gujarat,868,23330
Gujarat,27,13963
Gujarat,281,13648
Gujarat,287,8961
Gujarat,594,6790
Gujarat,353,0
Gujarat,1036,23981
Gujarat,182,7436
Gujarat,413,3265
Haryana,1088,11912
Haryana,705,10720
Haryana,640,14511
Haryana,897,7378
Haryana,505,0
Haryana,790,17712
Haryana,806,22504
Haryana,421,0
Haryana,922,18588
Haryana,135,13681
Haryana,534,8642
Haryana,668,9986
Haryana,122,10959
Haryana,538,4719
Haryana,309,0
Haryana,456,12293
Haryana,324,11670
Haryana,365,23340
Haryana,629,7598
Haryana,642,8139
Haryana,447,12462
Haryana,255,29462
Haryana,266,25154
Haryana,563,3370
Haryana,479,18646
Haryana,157,2260
Haryana,723,23652
Haryana,198,28926
Haryana,834,5071
Haryana,769,18106
Haryana,778,12026
Haryana,53,3108
Haryana,724,8162
Haryana,493,0
Haryana,796,14899
Haryana,568,10459
Haryana,304,11507
Haryana,306,16871
Haryana,550,16924
Haryana,382,21546
Haryana,163,10945
Haryana,820,31583
Haryana,347,8973
Haryana,277,2013
Haryana,708,0
Haryana,219,3994
Haryana,832,9530
Haryana,559,43698
Haryana,220,25488
Haryana,1299,7027
Haryana,428,0
