InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,MajorCategory,MinorCategory,OrderValue
10000,S242,Sofa,3,2024-01-29,16249,854,India,Furniture,LivingRoom,48747
10001,S323,CoffeeTable,1,2024-01-12,2152,338,Canada,Furniture,LivingRoom,2152
10002,S559,Sofa,5,2024-01-29,27693,703,UK,Furniture,LivingRoom,138465
10003,S320,Trousers,3,2024-01-20,18410,881,UK,Clothing,Bottoms,55230
10004,S452,Shirt,1,2024-04-18,23726,718,UK,Clothing,Tops,23726
10005,S400,Shoes,4,2024-03-11,5364,949,Canada,Clothing,Footwear,21456
10006,S333,Headphones,1,2024-03-25,3203,891,UK,Electronics,Accessories,3203
10007,S750,Jeans,4,2024-02-28,18417,954,UK,Clothing,Bottoms,73668
10008,S818,Coat,2,2024-02-04,44120,799,India,Clothing,Outerwear,88240
10009,S376,Chair,2,2024-02-18,30494,755,Canada,Furniture,Office,60988
10010,S924,Jacket,2,2024-01-05,54057,423,Germany,Clothing,Outerwear,108114
10011,S422,Laptop,5,2024-04-01,57633,317,Germany,Electronics,Computers,288165
10012,S862,Microwave,3,2024-02-01,9350,674,Canada,Electronics,Appliances,28050
10013,S621,Refrigerator,3,2024-01-18,14573,605,India,Electronics,Appliances,43719
10014,S532,T-shirt,2,2024-03-28,52109,710,India,Clothing,Tops,104218
10015,S981,Refrigerator,5,2024-03-11,16676,111,India,Electronics,Appliances,83380
10016,S261,DiningChair,1,2024-02-25,19434,564,India,Furniture,Dining,19434
10017,S740,DiningTable,5,2024-04-21,7173,405,Canada,Furniture,Dining,35865
10018,S652,Chair,3,2024-01-21,50171,897,Canada,Furniture,Office,150513
10019,S471,Coat,1,2024-04-28,7531,999,UK,Clothing,Outerwear,7531
10020,S849,T-shirt,5,2024-01-11,5361,597,India,Clothing,Tops,26805
10021,S371,Chair,4,2024-01-22,36231,640,Canada,Furniture,Office,144924
10022,S508,Headphones,2,2024-02-09,46923,787,UK,Electronics,Accessories,93846
10023,S446,Microwave,2,2024-01-09,14925,121,Canada,Electronics,Appliances,29850
10024,S746,Chair,1,2024-03-31,4852,160,USA,Furniture,Office,4852
10025,S385,Shirt,1,2024-01-31,33895,785,Germany,Clothing,Tops,33895
10026,S926,Trousers,2,2024-03-01,51620,516,USA,Clothing,Bottoms,103240
10027,S520,Hoodie,4,2024-02-24,23419,578,India,Clothing,Tops,93676
10028,S919,Sofa,4,2024-02-13,47924,982,India,Furniture,LivingRoom,191696
10029,S532,Jeans,5,2024-01-18,29600,287,UK,Clothing,Bottoms,148000
10030,S976,Mouse,4,2024-04-20,53154,663,India,Electronics,Accessories,212616
10031,S597,T-shirt,2,2024-02-22,11099,592,USA,Clothing,Tops,22198
10032,S371,Laptop,4,2024-02-19,341,902,Germany,Electronics,Computers,1364
10033,S322,Refrigerator,2,2024-02-07,12645,159,Canada,Electronics,Appliances,25290
10034,S588,CoffeeTable,1,2024-03-15,3486,614,Canada,Furniture,LivingRoom,3486
10035,S170,Hoodie,1,2024-01-24,55993,709,India,Clothing,Tops,55993
10036,S352,Desk,1,2024-03-13,58545,692,Canada,Furniture,Office,58545
10037,S423,Shirt,5,2024-03-07,37242,367,USA,Clothing,Tops,186210
10038,S787,DiningTable,3,2024-01-17,26138,760,UK,Furniture,Dining,78414
10039,S676,TV,1,2024-03-20,30234,202,India,Electronics,Entertainment,30234
10040,S170,Desk,2,2024-04-22,23072,350,UK,Furniture,Office,46144
10041,S726,Keyboard,5,2024-02-08,46307,926,Canada,Electronics,Accessories,231535
10042,S209,Jacket,2,2024-01-15,17532,860,Canada,Clothing,Outerwear,35064
10043,S451,Coat,5,2024-04-01,14003,308,UK,Clothing,Outerwear,70015
10044,S533,Wardrobe,1,2024-03-22,6248,949,UK,Furniture,Bedroom,6248
10045,S265,Shirt,2,2024-02-03,41953,859,Germany,Clothing,Tops,83906
10046,S807,Bed,1,2024-04-30,5131,252,Canada,Furniture,Bedroom,5131
10047,S415,Jacket,4,2024-01-06,8552,473,India,Clothing,Outerwear,34208
10048,S462,Headphones,2,2024-01-14,43908,898,Canada,Electronics,Accessories,87816
10049,S281,Mouse,2,2024-04-13,52621,522,India,Electronics,Accessories,105242
10050,S906,Coat,2,2024-01-21,17685,818,India,Clothing,Outerwear,35370
10051,S571,Desktop,2,2024-04-14,13279,458,UK,Electronics,Computers,26558
10052,S385,Jeans,2,2024-02-12,26313,985,India,Clothing,Bottoms,52626
10053,S128,Speaker,5,2024-04-30,21902,218,UK,Electronics,Entertainment,109510
10054,S453,Jacket,1,2024-02-25,39296,846,UK,Clothing,Outerwear,39296
10055,S145,Desktop,5,2024-02-02,12657,825,Germany,Electronics,Computers,63285
10056,S438,Trousers,4,2024-03-26,4785,738,UK,Clothing,Bottoms,19140
10057,S518,CoffeeTable,5,2024-03-26,20469,434,Germany,Furniture,LivingRoom,102345
10058,S488,DiningTable,2,2024-03-26,27754,793,USA,Furniture,Dining,55508
10059,S411,DiningChair,5,2024-01-01,54839,393,USA,Furniture,Dining,274195
10060,S318,Speaker,4,2024-03-27,29177,623,Germany,Electronics,Entertainment,116708
10061,S748,Chair,3,2024-03-25,33980,734,UK,Furniture,Office,101940
10062,S250,Trousers,2,2024-01-26,53058,125,India,Clothing,Bottoms,106116
10063,S744,Shoes,4,2024-04-23,27360,689,USA,Clothing,Footwear,109440
10064,S771,Wardrobe,4,2024-01-19,16189,804,India,Furniture,Bedroom,64756
10065,S630,Shoes,2,2024-03-30,52898,575,India,Clothing,Footwear,105796
10066,S575,Chair,4,2024-04-12,8938,783,Canada,Furniture,Office,35752
10067,S616,DiningChair,5,2024-04-02,53612,536,Canada,Furniture,Dining,268060
10068,S869,Headphones,4,2024-02-03,29695,353,UK,Electronics,Accessories,118780
10069,S830,Bed,3,2024-01-10,29027,392,USA,Furniture,Bedroom,87081
10070,S254,Speaker,5,2024-01-18,5480,336,Germany,Electronics,Entertainment,27400
10071,S438,Chair,1,2024-02-22,27388,655,Germany,Furniture,Office,27388
10072,S888,Laptop,4,2024-04-25,25724,698,India,Electronics,Computers,102896
10073,S871,Wardrobe,1,2024-02-08,23252,499,Germany,Furniture,Bedroom,23252
10074,S597,Desk,2,2024-02-25,18087,129,Germany,Furniture,Office,36174
10075,S646,Microwave,4,2024-03-20,8564,127,Germany,Electronics,Appliances,34256
10076,S572,Sofa,4,2024-04-20,9093,286,India,Furniture,LivingRoom,36372
10077,S445,Refrigerator,2,2024-02-11,29999,879,Germany,Electronics,Appliances,59998
10078,S867,Refrigerator,1,2024-01-03,31022,652,India,Electronics,Appliances,31022
10079,S141,Headphones,1,2024-03-24,51398,872,India,Electronics,Accessories,51398
10080,S229,Jeans,5,2024-01-31,10186,584,India,Clothing,Bottoms,50930
10081,S271,Desk,3,2024-02-17,50459,720,Canada,Furniture,Office,151377
10082,S126,Sofa,3,2024-03-15,7284,419,Canada,Furniture,LivingRoom,21852
10083,S807,Wardrobe,2,2024-03-16,5180,950,USA,Furniture,Bedroom,10360
10084,S455,Jacket,5,2024-01-06,51490,645,Germany,Clothing,Outerwear,257450
10085,S112,DiningTable,5,2024-02-13,42637,969,Germany,Furniture,Dining,213185
10086,S948,Desktop,3,2024-04-24,41853,570,USA,Electronics,Computers,125559
10087,S730,Headphones,5,2024-02-04,42828,927,Canada,Electronics,Accessories,214140
10088,S972,Refrigerator,5,2024-02-11,17789,351,India,Electronics,Appliances,88945
10089,S784,Microwave,4,2024-03-19,37545,488,UK,Electronics,Appliances,150180
10090,S463,Sandals,2,2024-01-28,32152,916,UK,Clothing,Footwear,64304
10091,S295,Speaker,5,2024-03-07,865,187,USA,Electronics,Entertainment,4325
10092,S807,Wardrobe,5,2024-01-31,49887,587,Germany,Furniture,Bedroom,249435
10093,S808,Laptop,3,2024-02-21,14722,349,UK,Electronics,Computers,44166
10094,S535,DiningChair,5,2024-02-14,34994,863,Canada,Furniture,Dining,174970
10095,S336,Speaker,3,2024-02-02,20294,223,USA,Electronics,Entertainment,60882
10096,S595,Laptop,2,2024-04-04,14380,383,Canada,Electronics,Computers,28760
10097,S469,DiningTable,2,2024-01-30,19614,283,UK,Furniture,Dining,39228
10098,S399,Trousers,1,2024-03-11,3773,814,USA,Clothing,Bottoms,3773
10099,S580,Bed,1,2024-02-06,37821,590,Germany,Furniture,Bedroom,37821
10100,S216,Mouse,3,2024-03-02,56673,941,India,Electronics,Accessories,170019
10101,S154,Microwave,5,2024-03-28,41451,255,USA,Electronics,Appliances,207255
10102,S882,DiningTable,2,2024-03-12,7962,526,Canada,Furniture,Dining,15924
10103,S404,Desk,4,2024-02-26,59739,980,Canada,Furniture,Office,238956
10104,S881,TV,5,2024-01-13,48702,312,USA,Electronics,Entertainment,243510
10105,S176,Laptop,2,2024-03-11,11591,260,India,Electronics,Computers,23182
10106,S395,Refrigerator,3,2024-01-30,2339,823,UK,Electronics,Appliances,7017
10107,S910,Bed,2,2024-04-10,17537,740,Canada,Furniture,Bedroom,35074
10108,S763,Desk,1,2024-01-29,35888,252,UK,Furniture,Office,35888
10109,S709,T-shirt,2,2024-02-09,52145,866,Canada,Clothing,Tops,104290
10110,S816,Microwave,4,2024-02-08,45333,512,UK,Electronics,Appliances,181332
10111,S542,Wardrobe,1,2024-01-06,39392,852,UK,Furniture,Bedroom,39392
10112,S956,DiningTable,1,2024-03-27,15202,981,Canada,Furniture,Dining,15202
10113,S874,CoffeeTable,5,2024-04-07,2836,279,Germany,Furniture,LivingRoom,14180
10114,S750,Wardrobe,2,2024-02-25,38560,933,Germany,Furniture,Bedroom,77120
