property_id,city,property_type,bhk,area_sqft,age_years,floor,total_floors,furnishing_status,parking_spaces,has_gym,has_pool,has_lift,price_lakhs
PROP0001,Hyderabad,Apartment,2,811.6,9,17,18,Semi-Furnished,1,0,0,1,87.07
PROP0002,Delhi,Apartment,2,1134.7,9,13,18,Furnished,1,0,1,1,203.16
PROP0003,Delhi,Apartment,1,464.9,1,2,10,Unfurnished,1,1,1,1,73.45
PROP0004,Kolkata,Penthouse,4,3140.4,4,5,10,Unfurnished,1,1,1,1,454.38
PROP0005,Bangalore,Apartment,2,835.0,18,7,17,Semi-Furnished,1,1,0,1,97.92
PROP0006,Bangalore,Studio,1,337.4,5,0,2,Unfurnished,1,0,0,0,32.2
PROP0007,Bangalore,Villa,4,4492.8,1,0,2,Semi-Furnished,1,1,0,0,1011.81
PROP0008,Bangalore,Apartment,2,1171.2,,17,21,Furnished,1,0,0,1,189.95
PROP0009,Hyderabad,Row House,3,2012.3,1,0,2,Semi-Furnished,2,1,0,0,275.2
PROP0010,Bangalore,Apartment,1,440.7,20,7,7,Unfurnished,1,1,0,1,46.09
PROP0011,Bangalore,Apartment,3,1760.1,1,19,25,Semi-Furnished,2,1,1,1,311.96
PROP0012,Pune,Apartment,2,732.0,0,18,21,Semi-Furnished,0,1,0,1,75.87
PROP0013,Bangalore,Apartment,2,969.6,9,18,25,Unfurnished,1,1,0,1,141.35
PROP0014,Mumbai,Villa,4,1963.7,9,0,2,Unfurnished,0,0,0,0,469.79
PROP0015,Pune,Apartment,3,1692.0,1,17,17,Semi-Furnished,2,1,1,1,229.29
PROP0016,Delhi,Row House,2,2454.5,4,0,2,Semi-Furnished,2,1,0,0,468.11
PROP0017,Kolkata,Villa,4,3819.5,0,0,2,Semi-Furnished,1,1,0,0,491.52
PROP0018,Delhi,Apartment,3,1234.7,6,13,23,Semi-Furnished,1,1,1,1,214.5
PROP0019,Delhi,Villa,3,2653.7,9,0,2,Furnished,1,1,1,0,580.54
PROP0020,Pune,Apartment,1,558.4,8,25,35,Semi-Furnished,1,1,0,1,54.29
PROP0021,Delhi,Penthouse,4,2466.3,2,10,13,Furnished,1,1,0,1,729.11
PROP0022,Mumbai,Apartment,1,594.9,1,22,28,Semi-Furnished,1,0,1,1,152.01
PROP0023,Delhi,Villa,4,1912.9,3,0,2,Unfurnished,2,0,0,0,378.23
PROP0024,Kolkata,Studio,1,530.0,2,0,2,Furnished,1,0,0,0,35.38
PROP0025,Delhi,Villa,4,2470.1,1,0,2,Semi-Furnished,1,0,0,0,572.19
PROP0026,Delhi,Villa,4,2552.2,0,0,2,Unfurnished,1,1,1,0,683.52
PROP0027,Pune,Apartment,2,1191.8,0,11,16,Semi-Furnished,1,1,0,1,143.63
PROP0028,Chennai,Villa,5,3790.0,1,0,2,Semi-Furnished,2,1,0,0,609.67
PROP0029,Bangalore,Villa,4,3682.5,6,0,2,Furnished,1,0,1,0,799.65
PROP0030,Mumbai,Studio,1,443.8,3,0,2,Semi-Furnished,1,1,1,0,84.95
PROP0031,Delhi,Villa,4,2052.1,18,0,2,Furnished,1,1,0,0,412.53
PROP0032,Pune,Villa,4,2836.7,4,0,2,Furnished,1,1,1,0,467.26
PROP0033,Chennai,Villa,4,3305.0,18,0,2,Furnished,0,1,0,0,349.69
PROP0034,Pune,Apartment,4,1845.9,1,14,18,Unfurnished,1,1,0,1,215.55
PROP0035,Bangalore,Studio,1,343.3,3,0,2,Unfurnished,0,0,0,0,38.73
PROP0036,Mumbai,Studio,1,385.2,10,0,2,Unfurnished,0,1,0,0,54.87
PROP0037,Delhi,Penthouse,4,3614.7,9,7,14,Unfurnished,1,0,0,1,740.2
PROP0038,Mumbai,Villa,3,2863.9,6,0,2,Furnished,1,0,0,0,823.44
PROP0039,Delhi,Studio,1,382.4,9,0,2,Unfurnished,1,0,0,0,28.89
PROP0040,Hyderabad,Studio,1,536.4,1,0,2,Furnished,0,0,1,0,51.2
PROP0041,Chennai,Apartment,3,1610.9,1,9,10,Unfurnished,1,1,0,1,207.55
PROP0042,Pune,Apartment,3,1276.2,8,25,34,Unfurnished,1,0,0,1,117.58
PROP0043,Pune,Studio,1,308.5,20,0,2,Semi-Furnished,2,1,0,0,17.93
PROP0044,Bangalore,Apartment,3,1251.3,12,2,6,Unfurnished,2,0,0,1,128.3
PROP0045,Pune,Apartment,2,1098.9,3,22,26,Unfurnished,1,1,0,1,534.11
PROP0046,Bangalore,Apartment,2,902.2,2,11,18,Semi-Furnished,1,0,1,1,157.02
PROP0047,Delhi,Apartment,3,1286.7,9,22,24,Unfurnished,0,1,0,1,174.4
PROP0048,Delhi,Apartment,2,1054.0,1,1,9,,1,1,0,1,178.86
PROP0049,Delhi,Apartment,2,1182.7,2,3,4,Unfurnished,1,0,0,1,196.97
PROP0050,Mumbai,Studio,1,443.7,10,0,2,Furnished,1,1,0,0,70.3
PROP0051,Hyderabad,Villa,4,4358.5,2,0,2,Furnished,1,0,0,0,723.27
PROP0052,Delhi,Studio,1,469.8,4,0,2,Semi-Furnished,2,1,0,0,61.92
PROP0053,Bangalore,Villa,5,4031.9,0,0,2,Furnished,1,1,0,0,963.87
PROP0054,Bangalore,Apartment,1,360.0,4,8,8,Furnished,0,1,1,1,62.23
PROP0055,Hyderabad,Apartment,1,539.1,5,8,10,Semi-Furnished,2,0,1,1,67.58
PROP0056,Mumbai,Apartment,2,1031.3,4,1,8,Unfurnished,0,0,0,1,188.47
PROP0057,Mumbai,Penthouse,4,2162.6,5,15,25,Semi-Furnished,1,0,0,1,718.95
PROP0058,Hyderabad,Studio,1,471.6,3,0,2,Furnished,1,0,1,0,49.74
PROP0059,Mumbai,Row House,2,2328.7,4,0,2,Semi-Furnished,1,1,0,0,541.94
PROP0060,Chennai,Penthouse,3,4363.2,2,23,27,Furnished,2,1,1,1,980.15
PROP0061,Delhi,Studio,1,381.8,18,0,2,Unfurnished,2,0,0,0,35.03
PROP0062,Delhi,Row House,3,2243.2,1,0,2,Unfurnished,0,1,0,0,382.76
PROP0063,Pune,Apartment,1,567.7,20,25,29,Furnished,1,1,0,1,47.87
PROP0064,Hyderabad,Studio,1,515.5,0,0,2,Furnished,1,1,1,0,50.91
PROP0065,Hyderabad,Penthouse,4,4082.0,15,25,25,Furnished,1,0,0,1,582.97
PROP0066,Pune,Villa,3,4264.6,1,0,2,Semi-Furnished,1,0,0,0,570.06
PROP0067,Mumbai,Apartment,2,993.8,7,8,15,Semi-Furnished,2,0,0,1,185.78
PROP0068,Delhi,Row House,3,1639.2,6,0,2,Semi-Furnished,1,0,0,0,278.84
PROP0069,Chennai,Villa,4,3518.9,7,0,2,Semi-Furnished,1,1,1,0,457.26
PROP0070,Bangalore,Studio,1,304.3,2,0,2,Semi-Furnished,0,0,0,0,31.84
PROP0071,Pune,Apartment,3,1411.4,10,10,11,Semi-Furnished,1,0,1,1,146.68
PROP0072,Bangalore,Apartment,2,832.2,1,23,33,Semi-Furnished,1,0,0,1,145.87
PROP0073,Hyderabad,Row House,3,2176.1,7,0,2,Semi-Furnished,1,1,0,0,
PROP0074,Delhi,Villa,4,2801.7,18,0,2,Semi-Furnished,1,1,1,0,470.17
PROP0075,Hyderabad,Row House,2,2304.4,2,0,2,Semi-Furnished,1,0,1,0,271.38
PROP0076,Kolkata,Row House,4,1346.7,2,0,2,Semi-Furnished,2,0,0,0,156.01
