bhk,area_sqft,age_years,floor,total_floors,parking_spaces,has_gym,has_pool,has_lift,price_lakhs
2,811.6,9.0,17,18,1,0,0,1,87.07
2,1134.7,9.0,13,18,1,0,1,1,203.16
1,464.9,1.0,2,10,1,1,1,1,73.45
4,3140.4,4.0,5,10,1,1,1,1,454.38
2,835.0,18.0,7,17,1,1,0,1,97.92
1,337.4,5.0,0,2,1,0,0,0,32.2
4,4492.8,1.0,0,2,1,1,0,0,1011.81
3,2012.3,1.0,0,2,2,1,0,0,275.2
1,440.7,20.0,7,7,1,1,0,1,46.09
3,1760.1,1.0,19,25,2,1,1,1,311.96
2,732.0,0.0,18,21,0,1,0,1,75.87
2,969.6,9.0,18,25,1,1,0,1,141.35
4,1963.7,9.0,0,2,0,0,0,0,469.79
3,1692.0,1.0,17,17,2,1,1,1,229.29
2,2454.5,4.0,0,2,2,1,0,0,468.11
4,3819.5,0.0,0,2,1,1,0,0,491.52
3,1234.7,6.0,13,23,1,1,1,1,214.5
3,2653.7,9.0,0,2,1,1,1,0,580.54
1,558.4,8.0,25,35,1,1,0,1,54.29
4,2466.3,2.0,10,13,1,1,0,1,729.11
1,594.9,1.0,22,28,1,0,1,1,152.01
4,1912.9,3.0,0,2,2,0,0,0,378.23
1,530.0,2.0,0,2,1,0,0,0,35.38
4,2470.1,1.0,0,2,1,0,0,0,572.19
4,2552.2,0.0,0,2,1,1,1,0,683.52
2,1191.8,0.0,11,16,1,1,0,1,143.63
5,3790.0,1.0,0,2,2,1,0,0,609.67
4,3682.5,6.0,0,2,1,0,1,0,799.65
1,443.8,3.0,0,2,1,1,1,0,84.95
4,2052.1,18.0,0,2,1,1,0,0,412.53
4,2836.7,4.0,0,2,1,1,1,0,467.26
4,3305.0,18.0,0,2,0,1,0,0,349.69
4,1845.9,1.0,14,18,1,1,0,1,215.55
1,343.3,3.0,0,2,0,0,0,0,38.73
1,385.2,10.0,0,2,0,1,0,0,54.87
4,3614.7,9.0,7,14,1,0,0,1,740.2
3,2863.9,6.0,0,2,1,0,0,0,823.44
1,382.4,9.0,0,2,1,0,0,0,28.89
1,536.4,1.0,0,2,0,0,1,0,51.2
3,1610.9,1.0,9,10,1,1,0,1,207.55
3,1276.2,8.0,25,34,1,0,0,1,117.58
1,308.5,20.0,0,2,2,1,0,0,17.93
3,1251.3,12.0,2,6,2,0,0,1,128.3
2,1098.9,3.0,22,26,1,1,0,1,534.11
2,902.2,2.0,11,18,1,0,1,1,157.02
3,1286.7,9.0,22,24,0,1,0,1,174.4
2,1182.7,2.0,3,4,1,0,0,1,196.97
1,443.7,10.0,0,2,1,1,0,0,70.3
4,4358.5,2.0,0,2,1,0,0,0,723.27
1,469.8,4.0,0,2,2,1,0,0,61.92
5,4031.9,0.0,0,2,1,1,0,0,963.87
1,360.0,4.0,8,8,0,1,1,1,62.23
1,539.1,5.0,8,10,2,0,1,1,67.58
2,1031.3,4.0,1,8,0,0,0,1,188.47
4,2162.6,5.0,15,25,1,0,0,1,718.95
1,471.6,3.0,0,2,1,0,1,0,49.74
2,2328.7,4.0,0,2,1,1,0,0,541.94
3,4363.2,2.0,23,27,2,1,1,1,980.15
1,381.8,18.0,0,2,2,0,0,0,35.03
3,2243.2,1.0,0,2,0,1,0,0,382.76
1,567.7,20.0,25,29,1,1,0,1,47.87
1,515.5,0.0,0,2,1,1,1,0,50.91
4,4082.0,15.0,25,25,1,0,0,1,582.97
3,4264.6,1.0,0,2,1,0,0,0,570.06
2,993.8,7.0,8,15,2,0,0,1,185.78
3,1639.2,6.0,0,2,1,0,0,0,278.84
4,3518.9,7.0,0,2,1,1,1,0,457.26
1,304.3,2.0,0,2,0,0,0,0,31.84
3,1411.4,10.0,10,11,1,0,1,1,146.68
2,832.2,1.0,23,33,1,0,0,1,145.87
4,2801.7,18.0,0,2,1,1,1,0,470.17
2,2304.4,2.0,0,2,1,0,1,0,271.38
4,1346.7,2.0,0,2,2,0,0,0,156.01
4,3995.2,2.0,0,2,1,1,0,0,664.8
2,1094.2,6.0,8,8,0,0,0,1,114.45
2,1007.6,9.0,21,29,1,1,0,1,153.78
3,2445.0,1.0,18,26,1,0,0,1,587.59
3,1708.3,6.0,13,20,2,0,1,1,173.51
4,2046.3,0.0,0,2,1,0,0,0,263.14
3,1755.8,4.0,1,5,1,0,0,1,198.8
2,1060.8,10.0,2,2,0,1,0,0,170.17
2,956.2,3.0,21,31,1,1,0,1,129.16
1,358.2,1.0,0,2,1,0,0,0,38.28
3,1377.2,4.0,10,19,1,0,0,1,240.67
4,2979.1,1.0,0,2,1,0,1,0,685.24
4,2323.5,10.0,0,2,2,1,0,0,608.43
3,1942.3,6.0,0,2,1,1,0,0,453.3
2,1015.7,10.0,11,19,0,1,0,1,140.82
2,1177.1,9.0,25,34,1,0,0,1,177.84
3,1428.4,1.0,14,21,1,1,0,1,192.49
2,979.0,3.0,21,30,2,0,0,1,121.03
2,1169.0,3.0,25,30,2,1,1,1,152.8
1,403.5,18.0,7,9,0,0,1,1,41.97
5,3468.7,6.0,0,2,0,1,0,0,799.11
4,3916.3,2.0,0,2,2,1,1,0,503.0
1,490.1,5.0,0,2,0,0,0,0,55.2
3,2026.5,1.0,0,2,1,1,0,0,313.17
1,406.7,7.0,0,2,0,0,0,0,29.52
2,1073.7,3.0,7,17,1,1,1,1,255.56
3,1523.8,12.0,24,31,0,0,1,1,165.98
1,407.8,0.0,0,2,1,1,0,0,54.94
3,1498.9,8.0,0,2,1,0,0,0,215.5
1,432.0,2.0,22,28,0,0,0,1,85.87
2,1002.5,8.0,11,18,1,1,0,1,134.99
2,830.9,2.0,19,23,1,1,0,1,144.14
4,2748.1,20.0,0,2,1,1,0,0,259.11
4,2192.1,2.0,11,19,1,1,1,1,449.81
1,409.2,4.0,0,2,1,0,0,0,54.38
4,2148.4,5.0,0,2,2,1,0,0,426.23
3,2012.9,1.0,0,2,1,1,0,0,244.74
3,4771.8,0.0,2,2,2,1,0,0,979.61
4,3925.7,3.0,25,35,1,1,1,1,1589.19
4,1745.4,4.0,16,24,0,0,0,1,195.46
4,4888.1,15.0,18,23,0,0,1,1,446.42
2,724.3,2.0,20,30,1,1,1,1,126.23
2,985.1,1.0,2,8,1,1,0,1,126.87
4,2155.0,1.0,16,16,0,0,0,1,271.59
3,1171.9,20.0,9,18,1,1,0,1,129.82
4,3758.4,8.0,0,2,1,1,1,0,424.25
3,1514.8,12.0,21,24,0,1,0,1,234.63
4,4207.5,0.0,6,14,1,1,0,1,860.16
3,1590.7,7.0,19,26,0,0,0,1,256.12
2,1166.9,10.0,3,12,1,0,1,1,600.39
1,373.5,4.0,0,2,1,0,0,0,54.36
4,1963.9,1.0,0,2,1,1,1,0,426.22
3,1181.8,18.0,12,19,0,1,1,1,99.3
3,3363.0,7.0,4,12,1,0,0,1,560.77
4,2273.8,15.0,0,2,2,1,0,0,272.35
2,817.8,9.0,9,18,1,0,1,1,116.41
4,2932.9,1.0,9,14,1,0,0,1,682.29
4,3251.3,7.0,0,2,1,1,1,0,791.06
4,3346.3,1.0,0,2,1,0,0,0,1051.56
2,928.4,0.0,25,29,1,0,1,1,116.23
2,2694.0,0.0,0,2,1,1,1,0,258.74
3,1458.3,5.0,7,14,1,0,1,1,299.6
1,518.6,0.0,0,2,0,0,0,0,72.11
3,3511.7,2.0,23,32,1,1,1,1,1167.47
2,730.5,18.0,5,15,1,1,0,1,55.79
1,484.5,2.0,22,24,2,1,0,1,96.57
3,1741.7,12.0,23,26,0,0,0,1,270.61
4,1703.2,15.0,6,7,1,1,1,1,359.16
2,933.1,7.0,11,19,2,1,1,1,162.91
4,2048.7,6.0,23,29,1,0,0,1,575.77
3,1416.5,9.0,14,16,1,0,0,1,112.31
1,300.1,12.0,0,2,0,0,0,0,30.18
3,1750.4,18.0,0,0,1,0,0,0,186.6
2,2668.9,5.0,0,2,1,0,0,0,399.17
3,1275.0,12.0,20,20,0,0,0,1,182.4
5,2057.5,5.0,0,2,1,1,1,0,346.67
4,2098.7,18.0,6,15,0,1,1,1,245.67
4,3797.3,10.0,0,2,0,1,0,0,497.03
4,4416.1,3.0,0,2,1,1,0,0,652.69
2,736.8,2.0,25,35,0,0,0,1,80.56
5,2455.4,5.0,0,2,0,0,0,0,300.72
1,377.5,18.0,0,2,1,1,0,0,35.68
2,1111.8,7.0,9,14,1,1,0,1,113.27
5,3911.3,3.0,0,2,1,0,1,0,707.3
2,2476.3,12.0,0,2,2,1,1,0,347.01
2,924.5,6.0,17,25,2,1,0,1,230.21
4,1541.7,3.0,6,14,1,1,0,1,151.07
3,1536.0,8.0,23,26,1,1,0,1,169.86
3,1712.3,4.0,0,3,1,1,1,0,220.39
2,831.2,15.0,20,25,1,1,0,1,131.17
3,2161.7,1.0,0,2,0,1,0,0,552.59
3,3034.8,9.0,0,2,1,0,0,0,532.74
5,2076.5,12.0,0,2,1,1,0,0,234.93
1,344.0,10.0,0,2,1,1,0,0,21.42
2,861.8,8.0,8,16,2,1,0,1,147.65
3,4598.2,2.0,7,17,1,0,0,1,584.36
1,467.6,15.0,0,2,1,1,1,0,47.28
5,3948.3,4.0,0,2,2,1,0,0,606.89
1,292.4,7.0,0,2,0,1,0,0,23.19
4,2905.6,15.0,2,12,1,0,1,1,296.06
1,403.4,0.0,16,26,1,0,0,1,60.74
1,551.5,1.0,9,11,1,1,1,1,85.71
2,1074.1,18.0,14,17,0,0,1,1,155.13
2,742.1,6.0,19,23,1,1,1,1,122.57
3,1766.0,5.0,15,25,1,1,1,1,320.33
4,3643.9,9.0,0,2,1,0,0,0,419.84
4,3694.9,0.0,0,2,1,0,0,0,605.4
3,1675.9,8.0,22,28,1,1,0,1,287.95
